step,ground_truth_node1,server_value,action_send
0,26.11,24.61,0
1,26.1,24.62,1
2,26.11,24.62,0
3,26.11,24.62,0
4,26.1,24.63,1
5,26.09,24.64,1
6,26.11,24.6,1
7,26.09,24.62,1
8,26.11,24.62,0
9,26.11,24.62,0
10,26.09,24.61,1
11,26.11,24.61,0
12,26.11,24.6,1
13,26.09,24.62,1
14,26.1,24.63,1
15,26.12,24.61,1
16,26.11,24.61,0
17,26.1,24.62,1
18,26.11,24.61,1
19,26.11,24.61,0
20,26.12,24.63,1
21,26.09,24.63,0
22,26.11,24.62,1
23,26.09,24.63,1
24,26.09,24.65,1
25,26.09,24.62,1
26,26.11,24.65,1
27,26.13,24.62,1
28,26.12,24.63,1
29,26.11,24.62,1
30,26.1,24.63,1
31,26.11,24.65,1
32,26.12,24.63,1
33,26.11,24.62,1
34,26.11,24.63,1
35,26.1,24.65,1
36,26.13,24.65,0
37,26.11,24.64,1
38,26.11,24.63,1
39,26.12,24.62,1
40,26.12,24.63,1
41,26.12,24.63,0
42,26.15,24.62,1
43,26.13,24.63,1
44,26.11,24.63,0
45,26.11,24.63,0
46,26.12,24.65,1
47,26.12,24.63,1
48,26.11,24.63,0
49,26.12,24.65,1
50,26.13,24.66,1
51,26.11,24.63,1
52,26.13,24.64,1
53,26.11,24.65,1
54,26.12,24.63,1
55,26.12,24.63,0
56,26.12,24.63,0
57,26.11,24.65,1
58,26.11,24.62,1
59,26.11,24.63,1
60,26.11,24.65,1
61,26.11,24.63,1
62,26.1,24.63,0
63,26.12,24.63,0
64,26.12,24.65,1
65,26.11,24.64,1
66,26.12,24.65,1
67,26.12,24.66,1
68,26.13,24.64,1
69,26.13,24.65,1
70,26.12,24.63,1
71,26.13,24.62,1
72,26.13,24.61,1
73,26.12,24.61,0
74,26.13,24.63,1
75,26.13,24.65,1
76,26.12,24.62,1
77,26.13,24.63,1
78,26.14,24.64,1
79,26.12,24.64,0
80,26.11,24.63,1
81,26.13,24.66,1
82,26.13,24.63,1
83,26.15,24.65,1
84,26.12,24.64,1
85,26.11,24.64,0
86,26.11,24.64,0
87,26.11,24.64,0
88,26.12,24.64,0
89,26.11,24.64,0
90,26.13,24.65,1
91,26.14,24.63,1
92,26.13,24.64,1
93,26.13,24.65,1
94,26.13,24.66,1
95,26.12,24.67,1
96,26.12,24.65,1
97,26.11,24.65,0
98,26.13,24.64,1
99,26.14,24.65,1
100,26.13,24.65,0
101,26.14,24.66,1
102,26.13,24.66,0
103,26.13,24.63,1
104,26.13,24.66,1
105,26.14,24.65,1
106,26.13,24.66,1
107,26.15,24.65,1
108,26.12,24.65,0
109,26.13,24.65,0
110,26.15,24.64,1
111,26.12,24.66,1
112,26.13,24.65,1
113,26.14,24.65,0
114,26.14,24.65,0
115,26.13,24.65,0
116,26.14,24.65,0
117,26.12,24.66,1
118,26.14,24.67,1
119,26.14,24.68,1
120,26.13,24.66,1
121,26.15,24.66,0
122,26.12,24.67,1
123,26.11,24.66,1
124,26.14,24.65,1
125,26.13,24.65,0
126,26.16,24.66,1
127,26.13,24.65,1
128,26.15,24.66,1
129,26.14,24.66,0
130,26.13,24.67,1
131,26.13,24.67,0
132,26.15,24.66,1
133,26.14,24.67,1
134,26.14,24.66,1
135,26.13,24.67,1
136,26.14,24.67,0
137,26.13,24.67,0
138,26.12,24.67,0
139,26.13,24.66,1
140,26.14,24.66,0
141,26.15,24.68,1
142,26.14,24.67,1
143,26.15,24.68,1
144,26.13,24.67,1
145,26.11,24.7,1
146,26.13,24.66,1
147,26.15,24.67,1
148,26.15,24.67,0
149,26.14,24.69,1
150,26.14,24.67,1
151,26.14,24.69,1
152,26.14,24.68,1
153,26.15,24.65,1
154,26.14,24.68,1
