time,id,lux,temp,hum,press,alt,current
2025-11-19 15:00:16,2,39.17,24.61,60.08,100699.0,66.7,-1.0
2025-11-19 15:00:17,2,39.17,24.62,60.06,100697.0,66.62,-0.7
2025-11-19 15:00:18,2,39.17,24.62,60.07,100698.0,66.79,-0.8
2025-11-19 15:00:19,2,39.17,24.62,60.05,100695.0,66.62,-0.8
2025-11-19 15:00:20,2,39.17,24.63,60.07,100693.0,67.12,-0.8
2025-11-19 15:00:22,2,39.17,24.64,60.05,100695.0,67.37,-0.6
2025-11-19 15:00:23,2,39.17,24.6,60.03,100700.0,66.7,-0.8
2025-11-19 15:00:24,2,39.17,24.62,60.02,100700.0,66.87,0.0
2025-11-19 15:00:25,2,39.17,24.62,60.06,100699.0,66.79,-0.8
2025-11-19 15:00:26,2,39.17,24.62,60.1,100696.0,66.87,-0.7
2025-11-19 15:00:27,2,39.17,24.61,60.16,100699.0,66.7,-0.8
2025-11-19 15:00:28,2,39.17,24.61,60.15,100699.0,66.79,-0.4
2025-11-19 15:00:29,2,39.17,24.6,60.18,100697.0,66.95,-0.6
2025-11-19 15:00:30,2,39.17,24.62,60.21,100702.0,66.7,0.0
2025-11-19 15:00:31,2,39.17,24.63,60.22,100702.0,66.7,-0.6
2025-11-19 15:00:32,2,38.33,24.61,60.27,100706.0,66.37,-0.8
2025-11-19 15:00:33,2,38.33,24.61,60.25,100699.0,66.37,-0.7
2025-11-19 15:00:34,2,39.17,24.62,60.31,100698.0,66.79,-0.7
2025-11-19 15:00:35,2,39.17,24.61,60.38,100697.0,66.95,-0.7
2025-11-19 15:00:36,2,39.17,24.61,60.42,100702.0,66.62,0.0
2025-11-19 15:00:37,2,39.17,24.63,60.36,100694.0,67.04,-0.9
2025-11-19 15:00:39,2,39.17,24.63,60.31,100692.0,66.95,-0.7
2025-11-19 15:00:40,2,39.17,24.62,60.3,100691.0,67.37,-0.8
2025-11-19 15:00:41,2,39.17,24.63,60.26,100697.0,66.95,-1.0
2025-11-19 15:00:42,2,38.33,24.65,60.17,100697.0,66.95,-0.8
2025-11-19 15:00:43,2,38.33,24.62,60.18,100697.0,66.87,-0.7
2025-11-19 15:00:44,2,38.33,24.65,60.17,100698.0,66.95,-0.8
2025-11-19 15:00:45,2,39.17,24.62,60.12,100698.0,66.79,0.0
2025-11-19 15:00:46,2,39.17,24.63,60.07,100697.0,67.04,-0.7
2025-11-19 15:00:47,2,39.17,24.62,60.03,100695.0,66.7,-0.7
2025-11-19 15:00:48,2,39.17,24.63,60.01,100691.0,66.87,-0.8
2025-11-19 15:00:49,2,39.17,24.65,60.01,100702.0,67.04,-0.7
2025-11-19 15:00:50,2,39.17,24.63,59.99,100694.0,67.12,-1.0
2025-11-19 15:00:51,2,39.17,24.62,59.98,100704.0,66.87,0.0
2025-11-19 15:00:52,2,39.17,24.63,59.95,100698.0,66.7,-0.6
2025-11-19 15:00:53,2,40.0,24.65,60.01,100693.0,67.21,-0.7
2025-11-19 15:00:55,2,39.17,24.65,60.0,100702.0,66.79,-0.9
2025-11-19 15:00:56,2,39.17,24.64,60.0,100696.0,67.12,-0.7
2025-11-19 15:00:57,2,39.17,24.63,60.01,100701.0,66.87,0.0
2025-11-19 15:00:58,2,39.17,24.62,60.0,100697.0,66.54,-1.0
2025-11-19 15:00:59,2,39.17,24.63,59.99,100697.0,67.21,-0.9
2025-11-19 15:01:00,2,39.17,24.63,59.99,100696.0,66.79,-0.7
2025-11-19 15:01:01,2,39.17,24.62,59.97,100698.0,67.12,-0.6
2025-11-19 15:01:02,2,40.0,24.63,59.94,100700.0,66.79,-0.7
2025-11-19 15:01:03,2,40.0,24.63,59.95,100701.0,66.95,-1.0
2025-11-19 15:01:04,2,40.0,24.63,59.93,100694.0,66.79,-0.7
2025-11-19 15:01:05,2,39.17,24.65,59.93,100695.0,67.21,0.0
2025-11-19 15:01:06,2,39.17,24.63,59.95,100690.0,67.12,-0.8
2025-11-19 15:01:07,2,39.17,24.63,59.99,100697.0,66.87,-0.7
2025-11-19 15:01:08,2,39.17,24.65,60.01,100694.0,67.04,-0.7
2025-11-19 15:01:09,2,40.0,24.66,60.03,100694.0,66.95,0.0
2025-11-19 15:01:10,2,39.17,24.63,60.08,100695.0,66.95,-0.7
2025-11-19 15:01:12,2,39.17,24.64,60.07,100698.0,66.54,-0.9
2025-11-19 15:01:13,2,40.0,24.65,60.03,100700.0,66.87,-0.5
2025-11-19 15:01:14,2,40.0,24.63,60.0,100700.0,66.87,-0.8
2025-11-19 15:01:15,2,40.0,24.63,60.01,100694.0,67.37,-0.7
2025-11-19 15:01:16,2,40.0,24.63,60.03,100694.0,67.21,-0.9
2025-11-19 15:01:17,2,39.17,24.65,60.04,100696.0,67.04,-0.8
2025-11-19 15:01:18,2,40.0,24.62,60.05,100701.0,66.54,-0.8
2025-11-19 15:01:19,2,39.17,24.63,60.07,100695.0,67.12,-0.7
2025-11-19 15:01:20,2,40.0,24.65,60.09,100697.0,66.87,-0.6
2025-11-19 15:01:21,2,40.0,24.63,60.11,100700.0,66.95,-0.8
2025-11-19 15:01:22,2,39.17,24.63,60.13,100701.0,66.7,-0.8
2025-11-19 15:01:23,2,39.17,24.63,60.12,100701.0,66.95,0.0
2025-11-19 15:01:24,2,39.17,24.65,60.06,100696.0,67.46,-0.7
2025-11-19 15:01:25,2,39.17,24.64,60.06,100699.0,67.29,-0.8
2025-11-19 15:01:26,2,39.17,24.65,60.02,100700.0,66.95,-0.8
2025-11-19 15:01:28,2,39.17,24.66,60.02,100694.0,67.21,-0.8
2025-11-19 15:01:29,2,39.17,24.64,60.0,100703.0,66.95,-0.9
2025-11-19 15:01:30,2,39.17,24.65,59.94,100698.0,67.21,0.0
2025-11-19 15:01:31,2,39.17,24.63,59.94,100699.0,66.87,0.0
2025-11-19 15:01:32,2,39.17,24.62,59.88,100697.0,66.95,-0.9
2025-11-19 15:01:33,2,39.17,24.61,59.86,100700.0,66.95,-0.8
2025-11-19 15:01:34,2,39.17,24.61,59.86,100697.0,67.12,-0.7
2025-11-19 15:01:35,2,39.17,24.63,59.86,100702.0,66.87,-0.7
2025-11-19 15:01:36,2,39.17,24.65,59.85,100701.0,67.37,-0.6
2025-11-19 15:01:37,2,39.17,24.62,59.81,100700.0,67.12,-0.9
2025-11-19 15:01:38,2,39.17,24.63,59.84,100699.0,66.7,-0.7
2025-11-19 15:01:39,2,39.17,24.64,59.83,100706.0,66.7,-0.8
2025-11-19 15:01:40,2,39.17,24.64,59.8,100698.0,66.79,-1.0
2025-11-19 15:01:41,2,39.17,24.63,59.82,100698.0,67.12,-0.8
2025-11-19 15:01:42,2,39.17,24.66,59.81,100697.0,67.04,-0.7
2025-11-19 15:01:43,2,39.17,24.63,59.8,100692.0,67.21,-1.0
2025-11-19 15:01:45,2,39.17,24.65,59.79,100699.0,66.79,-0.8
2025-11-19 15:01:46,2,39.17,24.64,59.79,100696.0,67.04,-0.7
2025-11-19 15:01:47,2,39.17,24.64,59.77,100699.0,66.87,-0.8
2025-11-19 15:01:48,2,39.17,24.64,59.81,100695.0,66.79,-0.8
2025-11-19 15:01:49,2,39.17,24.64,59.83,100699.0,66.54,-0.8
2025-11-19 15:01:50,2,39.17,24.64,59.86,100695.0,67.21,-0.5
2025-11-19 15:01:51,2,39.17,24.64,59.88,100697.0,67.46,0.0
2025-11-19 15:01:52,2,39.17,24.65,59.89,100693.0,66.79,-0.7
2025-11-19 15:01:53,2,39.17,24.63,59.91,100693.0,67.12,-0.8
2025-11-19 15:01:54,2,39.17,24.64,59.94,100694.0,66.79,-1.0
2025-11-19 15:01:55,2,39.17,24.65,59.89,100695.0,67.21,-0.9
2025-11-19 15:01:56,2,39.17,24.66,59.92,100695.0,67.21,-0.7
2025-11-19 15:01:57,2,39.17,24.67,59.94,100692.0,67.12,-0.8
2025-11-19 15:01:58,2,39.17,24.65,59.93,100702.0,66.95,-1.0
2025-11-19 15:01:59,2,39.17,24.65,59.96,100697.0,67.04,-0.8
2025-11-19 15:02:00,2,39.17,24.64,59.95,100696.0,67.21,-0.8
2025-11-19 15:02:02,2,39.17,24.65,59.99,100693.0,67.21,-0.5
2025-11-19 15:02:03,2,39.17,24.65,60.02,100696.0,66.29,-0.9
2025-11-19 15:02:04,2,39.17,24.66,60.07,100694.0,67.04,-0.7
2025-11-19 15:02:05,2,39.17,24.66,60.08,100694.0,66.95,-0.8
2025-11-19 15:02:06,2,39.17,24.63,60.05,100690.0,66.54,-0.7
2025-11-19 15:02:07,2,39.17,24.66,60.06,100695.0,67.29,-0.6
2025-11-19 15:02:08,2,39.17,24.65,60.02,100693.0,67.54,-0.8
2025-11-19 15:02:09,2,39.17,24.66,60.01,100693.0,67.37,-1.0
2025-11-19 15:02:10,2,39.17,24.65,59.99,100695.0,67.21,-0.8
2025-11-19 15:02:11,2,39.17,24.65,59.96,100692.0,67.46,-0.7
2025-11-19 15:02:12,2,39.17,24.65,59.95,100691.0,67.29,-0.8
2025-11-19 15:02:13,2,39.17,24.64,59.91,100689.0,67.12,-1.1
2025-11-19 15:02:14,2,39.17,24.66,59.91,100692.0,67.21,-0.9
2025-11-19 15:02:15,2,39.17,24.65,59.91,100692.0,66.79,-0.9
2025-11-19 15:02:16,2,39.17,24.65,59.9,100692.0,67.12,-0.9
2025-11-19 15:02:18,2,39.17,24.65,59.88,100692.0,66.7,-0.7
2025-11-19 15:02:19,2,38.33,24.65,59.89,100694.0,67.37,-0.6
2025-11-19 15:02:20,2,38.33,24.65,59.84,100694.0,67.21,-0.9
2025-11-19 15:02:21,2,38.33,24.66,59.85,100693.0,66.95,-0.9
2025-11-19 15:02:22,2,37.5,24.67,59.84,100703.0,67.21,-0.7
2025-11-19 15:02:23,2,37.5,24.68,59.84,100691.0,67.21,-0.6
2025-11-19 15:02:24,2,37.5,24.66,59.84,100692.0,67.37,-0.6
2025-11-19 15:02:25,2,38.33,24.66,59.81,100692.0,67.46,-0.7
2025-11-19 15:02:26,2,38.33,24.67,59.83,100702.0,67.12,-0.7
2025-11-19 15:02:27,2,39.17,24.66,59.82,100700.0,66.79,-0.8
