time,id,lux,temp,hum,press,alt,current
2025-11-19 15:20:09,1,14.17,26.32,57.57,100731.0,64.36,-0.4
2025-11-19 15:20:13,2,40.83,24.87,58.72,100700.0,66.87,0.0
2025-11-19 15:20:19,1,14.17,26.35,57.36,100732.0,64.19,-0.4
2025-11-19 15:20:23,2,40.83,24.88,58.63,100693.0,67.71,0.0
2025-11-19 15:20:29,1,14.17,26.37,57.32,100726.0,64.61,-0.2
2025-11-19 15:20:33,2,40.83,24.88,58.61,100701.0,66.45,0.0
2025-11-19 15:20:39,1,14.17,26.37,57.28,100726.0,64.7,0.0
2025-11-19 15:20:43,2,40.83,24.92,58.53,100693.0,67.46,4.5
2025-11-19 15:20:49,1,14.17,26.38,57.24,100728.0,64.11,-0.1
2025-11-19 15:20:54,2,40.83,24.89,58.56,100694.0,67.21,-0.6
2025-11-19 15:20:59,1,14.17,26.38,57.24,100722.0,64.7,-0.1
2025-11-19 15:21:04,2,40.83,24.9,58.87,100692.0,67.29,-1.0
2025-11-19 15:21:09,1,14.17,26.4,57.29,100722.0,64.78,-0.5
2025-11-19 15:21:14,2,41.67,24.92,58.67,100695.0,66.79,-1.1
2025-11-19 15:21:19,1,14.17,26.36,57.21,100726.0,64.7,-0.4
2025-11-19 15:21:24,2,40.83,24.89,58.64,100694.0,67.21,-0.4
2025-11-19 15:21:30,1,14.17,26.39,57.2,100728.0,64.28,-0.4
2025-11-19 15:21:34,2,41.67,24.91,58.64,100698.0,66.87,-0.5
2025-11-19 15:21:40,1,14.17,26.38,57.23,100734.0,63.69,-0.2
2025-11-19 15:21:44,2,40.83,24.89,58.56,100692.0,67.04,-0.7
2025-11-19 15:21:50,1,14.17,26.38,57.2,100733.0,63.78,-0.2
2025-11-19 15:21:54,2,40.83,24.89,58.71,100690.0,67.46,-1.0
2025-11-19 15:22:00,1,14.17,26.38,57.23,100730.0,64.53,-0.4
2025-11-19 15:22:04,2,40.83,24.91,58.6,100692.0,67.87,-0.9
2025-11-19 15:22:10,1,14.17,26.38,57.21,100733.0,63.94,-0.2
2025-11-19 15:22:14,2,40.83,24.9,58.61,100696.0,67.04,-0.7
2025-11-19 15:22:20,1,14.17,26.39,57.18,100735.0,63.86,0.0
2025-11-19 15:22:25,2,40.83,24.93,58.58,100700.0,66.62,-0.6
2025-11-19 15:22:30,1,14.17,26.39,57.17,100726.0,64.19,-0.2
2025-11-19 15:22:35,2,40.83,24.92,58.45,100696.0,66.54,-0.7
2025-11-19 15:22:40,1,14.17,26.4,57.17,100736.0,63.78,-0.1
2025-11-19 15:22:45,2,40.83,24.92,58.58,100698.0,66.54,0.0
2025-11-19 15:22:50,1,14.17,26.38,57.13,100735.0,63.61,-0.3
2025-11-19 15:22:55,2,40.83,24.94,58.43,100704.0,66.54,-0.7
2025-11-19 15:23:00,1,14.17,26.38,57.11,100731.0,64.19,-0.4
2025-11-19 15:23:05,2,40.83,24.93,58.39,100701.0,66.54,0.0
2025-11-19 15:23:11,1,14.17,26.38,57.15,100729.0,64.36,-0.3
